showid,title,type,releaseyear,endyear,duration,genres,cast,imdbrating,numvotes,popularityrank,isadult,url
tt0108052,Schindler's List,Movie,1993,1993,195 min,"Biography,Drama,History","Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, Jonathan Sagall",9.0,1580941,28,0,https://www.imdb.com/title/tt0108052/
tt0076759,Star Wars: Episode IV - A New Hope,Movie,1977,1977,121 min,"Action,Adventure,Fantasy","Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Peter Cushing",8.6,1565029,29,0,https://www.imdb.com/title/tt0076759/
tt0120689,The Green Mile,Movie,1999,1999,189 min,"Crime,Drama,Fantasy","Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, James Cromwell",8.6,1555680,30,0,https://www.imdb.com/title/tt0120689/
tt0848228,The Avengers,Movie,2012,2012,143 min,"Action,Sci-Fi","Robert Downey Jr., Robert Downey Jr., Chris Evans, Chris Evans, Scarlett Johansson",8.0,1553660,31,0,https://www.imdb.com/title/tt0848228/
tt0407887,The Departed,Movie,2006,2006,151 min,"Crime,Drama,Thriller","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen",8.5,1548970,32,0,https://www.imdb.com/title/tt0407887/
tt0080684,Star Wars: Episode V - The Empire Strikes Back,Movie,1980,1980,124 min,"Action,Adventure,Fantasy","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels",8.7,1499801,33,0,https://www.imdb.com/title/tt0080684/
tt0499549,Avatar,Movie,2009,2009,162 min,"Action,Adventure,Fantasy","Sam Worthington, Zoe Saldaña, Sigourney Weaver, Michelle Rodriguez, Stephen Lang",7.9,1493112,34,0,https://www.imdb.com/title/tt0499549/
tt0071562,The Godfather Part II,Movie,1974,1974,202 min,"Crime,Drama","Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton, John Cazale",9.0,1490669,35,0,https://www.imdb.com/title/tt0071562/
tt0088763,Back to the Future,Movie,1985,1985,116 min,"Adventure,Comedy,Sci-Fi","Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Tom Wilson",8.5,1447141,36,0,https://www.imdb.com/title/tt0088763/
tt4154796,Avengers: Endgame,Movie,2019,2019,181 min,"Action,Adventure,Sci-Fi","Robert Downey Jr., Robert Downey Jr., Chris Evans, Chris Evans, Mark Ruffalo",8.4,1438346,37,0,https://www.imdb.com/title/tt4154796/
tt0209144,Memento,Movie,2000,2000,113 min,"Drama,Mystery,Thriller","Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, Russ Fega",8.4,1430985,38,0,https://www.imdb.com/title/tt0209144/
tt0120338,Titanic,Movie,1997,1997,194 min,"Drama,Romance","Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher",8.0,1387717,39,0,https://www.imdb.com/title/tt0120338/
tt0099685,GoodFellas,Movie,1990,1990,145 min,"Biography,Crime,Drama","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino",8.7,1386083,40,0,https://www.imdb.com/title/tt0099685/
tt0120382,The Truman Show,Movie,1998,1998,103 min,"Comedy,Drama","Jim Carrey, Ed Harris, Laura Linney, Laura Linney, Noah Emmerich",8.2,1365679,41,0,https://www.imdb.com/title/tt0120382/
tt4154756,Avengers: Infinity War,Movie,2018,2018,149 min,"Action,Adventure,Sci-Fi","Robert Downey Jr., Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Mark Ruffalo",8.4,1364750,42,0,https://www.imdb.com/title/tt4154756/
tt2015381,Guardians of the Galaxy,Movie,2014,2014,121 min,"Action,Adventure,Comedy","Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldaña, Dave Bautista",8.0,1359535,43,0,https://www.imdb.com/title/tt2015381/
tt0110413,Léon: The Professional,Movie,1994,1994,110 min,"Action,Crime,Drama","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Peter Appel",8.5,1347294,44,0,https://www.imdb.com/title/tt0110413/
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,Movie,2003,2003,143 min,"Action,Adventure,Fantasy","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport",8.1,1320254,45,0,https://www.imdb.com/title/tt0325980/
tt0910970,WALL·E,Movie,2008,2008,98 min,"Adventure,Animation,Family","Ben Burtt, Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",8.4,1315668,46,0,https://www.imdb.com/title/tt0910970/
tt0266697,Kill Bill: Vol. 1,Movie,2003,2003,111 min,"Action,Crime,Thriller","Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen, Lucy Liu",8.2,1302574,47,0,https://www.imdb.com/title/tt0266697/
tt0103064,Terminator 2: Judgment Day,Movie,1991,1991,137 min,"Action,Adventure,Sci-Fi","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen",8.6,1280115,48,0,https://www.imdb.com/title/tt0103064/
tt0169547,American Beauty,Movie,1999,1999,122 min,Drama,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari",8.3,1277454,49,0,https://www.imdb.com/title/tt0169547/
tt0120586,American History X,Movie,1998,1998,119 min,"Crime,Drama","Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Ethan Suplee",8.5,1270105,50,0,https://www.imdb.com/title/tt0120586/
tt0110357,The Lion King,Movie,1994,1994,88 min,"Adventure,Animation,Drama","Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg, Rowan Atkinson",8.5,1254290,51,0,https://www.imdb.com/title/tt0110357/
tt1431045,Deadpool,Movie,2016,2016,108 min,"Action,Comedy,Sci-Fi","Ryan Reynolds, Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",8.0,1249454,52,0,https://www.imdb.com/title/tt1431045/
tt0434409,V for Vendetta,Movie,2005,2005,132 min,"Action,Drama,Sci-Fi","Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea, Stephen Fry",8.1,1244053,53,0,https://www.imdb.com/title/tt0434409/
